Booth Number(s),Company Name,Link to Company,Description,Website link,Company Contact Information
8372,Carl Zeiss Microscopy GmbH,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102942"")","ZEISS OEM Microscopes and Objectives - Combine your ideas for microscopy solutions with proven quality microscopes and parts from ZEISS. Choose the perfect microscope stand, light path or objective that completes your innovative product. Whenever your ideas demand microscope components that don’t even exist yet: talk to us to discuss and define the ideal customized solution for you. Enhance your product with proven quality components and optical performance plus a strong, trusted brand.","=HYPERLINK(""http://www.zeiss-com/oem"")",Carl Zeiss Microscopy GmbH  Carl-Zeiss-Promenade 10  Jena  Germany  07745
8372,Carl Zeiss Spectroscopy GmbH,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101553"")","Focus your perspective on quality. ZEISS Optical Gratings and Spectrometer Modules. You expect precise measurement even under production conditions – our optical gratings and OEM spectrometers provide the quality and performance you need for everything you design. Regardless of whether it’s in the UV, Vis or NIR region – ZEISS has a wide range of solutions and helps turn your ideas into successful products. From off-the-shelf OEM products to customized options, we’re your partner.","=HYPERLINK(""http://www.zeiss.com/spectroscopy"")",Carl Zeiss Spectroscopy GmbH  Carl-Zeiss-Promenade 10  Jena  Germany  07745
8216,Cassio-P SA,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102884"")",No Description Found,"=HYPERLINK(""http://cassio-p.com"")",Cassio-P SA  Rue de la Maladière 71C  Neuchâtel  Switzerland  2000
8425,Chroma Technology Corp.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102137"")",No Description Found,"=HYPERLINK(""http://www.chroma.com"")","Chroma Technology Corp  10 Imtec Ln  Bellows Falls, VT  United States  05101-3119"
8215,Class 5 Photonics GmbH,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=103162"")",No Description Found,"=HYPERLINK(""http://www.class5photonics.com"")",Class 5 Photonics GmbH  Deutsches Elektronensynchrotron  Notkestr. 85  Hamburg  Germany  22607
8555,CNI Laser,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102074"")","Changchun New Industries Optoelectronics Tech. Co., Ltd. (CNI), is dedicated to offer best quality lasers, laser systems, optical spectrum analyzer, teaching and laboratory equipment, optical measuring equipment,laser processing equipment, machine vision and the photoelectric detection, etc.","=HYPERLINK(""http://www.cnilaser.com"")","CNI Laser  No 888 Jinhu Rd High-Tech Zone  Changchun, JL  China  130103"
8624,Coherent Corp.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101528"")","Coherent produces the widest and most comprehensive range of materials, photonic components, lasers, laser-based subsystems, and turnkey tools for scientific, commercial, and industrial applications. The Coherent philosophy is simple – to deliver innovative products offering superior performance and reliability, backed by a worldwide support infrastructure, thus empowering our customers to take maximum advantage of the unique benefits of photonics technology.","=HYPERLINK(""http://www.coherent.com"")","Coherent Corp.  5100 Patrick Henry Dr  Santa Clara, CA  United States  95054-1112"
8208,CoolLED,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=103015"")","CoolLED’s OEM technology is centred on the Amora Series: our proven off-the-shelf product range adapted to offer unparalleled customisation opportunities. This provides you with an efficient and low-risk solution, while also addressing the specific needs of your application.","=HYPERLINK(""http://coolled.com"")",CoolLED  26 Focus Way  Andover  United Kingdom  SP10 5NY
8240,Corning Varioptic,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102464"")","Corning® Varioptic® Lenses are optical devices that adjust voltage to change the shape ofa liquid interface. Corning's unique technology addresses demanding markets for industrial imaging applications offering a solution: the electrowetting principle where the interface of two liquids is modified when a voltage is applied. When combined with two types of fluids (oil and electrolyte), three different types of lenses can be varied eliminating moving parts and enabling fast focus.","=HYPERLINK(""http://www.corning.com"")","Corning Varioptic  Corning Varioptic Lenses  1 Riverfront Plz  Corning, NY  United States  14831-0001"
8667,Cubert GmbH,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101959"")",No Description Found,"=HYPERLINK(""http://www.cubert-hyperspectral.com"")",Cubert GmbH  Science Park II  Lise-Meitner-Str. 8/1  Ulm  Germany  89081
8665,Cutting Edge Optronics,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102183"")","Cutting Edge Optronics (CEO), a subsidiary of Northrop Grumman, is a leading manufacturer of laser diodes, DPSS laser modules and complete DPSS laser systems. CEO products and systems are used in medical applications including dermatology, hair removal, lithotripsy and dentistry.","=HYPERLINK(""http://www.cuttingedgeoptronics.com"")","Cutting Edge Optronics  20 Point West Blvd  Saint Charles, MO  United States  63301-4430"
8476,"Cyberdyne, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102678"")","CYBERDYNE, INC. is a Japanese technology company, best known for its Hybrid Assistive Limb(HAL) systems, which are the world’s first cyborg-type robots. HAL is controlled by “bio-electrical signals” that appear on the surface of the skin that reflect motion intent. Apart from multiple variants of HAL, CYBERDYNE also develops medical diagnostic devices and has recently been focusing on the development and clinical translation of its proprietary LED-based photoacoustic imaging technology.","=HYPERLINK(""http://www.cyberdyne.jp/english"")","Cyberdyne, Inc.  2-2-1 Gakuenminami  Tsukuba-Shi  Japan  305-0818"
8353,DataRay Inc.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101240"")","DataRay Inc. was founded in 1988 to bring affordable, high-performance beam profiling to the photonics community. DataRay manufactures precision, UV to 16 μm beam profiling instruments for laser, laser assembly and fiber optic telecom beam profiling and imaging to ISO 11146 standards.","=HYPERLINK(""http://dataray.com"")","DataRay Inc.  Ste 1  31 Upper Ragsdale Dr  Monterey, CA  United States  93940"
8424,Edmund Optics Inc.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102274"")","Edmund Optics has been a leading producer of optics, imaging, and laser optics for 80 years. Discover the latest optical and imaging technology.","=HYPERLINK(""http://www.edmundoptics.com"")","Edmund Optics Inc.  101 E Gloucester Pike  Barrington, NJ  United States  08007-1380"
8553,EKSPLA,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102262"")","Innovative manufacturer of lasers & electronics from ultrafast industrial to unique custom system for basic research. In-house R&D team and more than 30 years’ experience enable to tailor products for specific applications and/or according to specific requirements. Main products are: femtosecond, picosecond and nanosecond lasers, tunable wavelength systems, ultrafast fiber lasers, spectroscopy systems and laser electronics.","=HYPERLINK(""http://ekspla.com"")",EKSPLA  Savanoriu Ave 237  Vilnius  Lithuania  LT-02300
8428,Electro Optics Magazine,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=103139"")",No Description Found,"=HYPERLINK(""http://www.electrooptics.com"")",Electro Optics Magazine  4 Signet Ct  Cambridge  United Kingdom  CB5 8LA
